Site,Recording Effort,Depth [m],Latitude [N],Longitude [W]
South_P,5/30/2017 - 9/29/2017,517,32° 53.053,117° 23.954
SDT_DP,8/3/2017 - 11/15/2017,609,32° 51.494,117° 27.172
Vertical_DM,9/7/2016 - 9/23/2016,600,32° 59.771,117° 24.880
SDT_PR,8/3/2017 - 11/15/2017,725,32° 54.885,117° 29.772
South_T,7/8/2017 - 1/17/2018,814,32° 53.199,117° 33.496
SDT_SZ,8/3/2017 - 11/15/2017,823,32° 49.691,117° 30.947
SDT_BF,7/27/2017 - 11/13/2017,915,32° 51.718,117° 36.448
SDT_SL,7/27/2017 - 11/15/2017,943,32° 47.416,117° 34.389
SDT_HP,7/31/2017 - 11/13/2017,1051,32° 45.597,117° 39.302
SDT_GR,7/31/2017 - 11/13/2017,1068,32° 49.220,117° 41.800
SDT_WQ,7/31/2017 - 11/13/2017,295,32° 46.301,117° 47.905
SDT_SW,7/31/2017 - 11/13/2017,302,32° 42.502,117° 45.800
